venueID,venueName,capacity,rentalCostPerHour,venueHandler,handlerContact,venueHandlerEmail,parkingCapacity,indoor,location
1,Innovation Hub,4445,14149,Mr. Joshi,7359790015,innovationhub@coep.ac.in,189,1,Pune
2,Admin Building Auditorium,4241,17330,Mr. Patil,7359579877,adminbuildingauditorium@coep.ac.in,265,0,Mumbai
3,Library Conference Hall,2774,15161,Mr. Joshi,8704217922,libraryconferencehall@coep.ac.in,221,1,Nagpur
4,Tech Pavilion,4984,8758,Mr. Kulkarni,8630631031,techpavilion@coep.ac.in,198,1,Aurangabad
5,Workshop Hall,2983,2885,Mr. Deshmukh,9171483330,workshophall@coep.ac.in,29,1,Aurangabad
6,Tech Pavilion,2830,3574,Mr. Joshi,8303514990,techpavilion@coep.ac.in,32,1,Nagpur
7,Robotics Arena,4451,6232,Mr. Deshmukh,7135174040,roboticsarena@coep.ac.in,219,1,Nagpur
8,Computer Science Lab 1,515,2866,Mr. Patil,7544668442,computersciencelab1@coep.ac.in,170,1,Aurangabad
9,Admin Building Auditorium,3536,17209,Mr. Patil,8822752811,adminbuildingauditorium@coep.ac.in,39,1,Pune
10,Sports Complex,4018,13564,Mr. Deshmukh,9382549311,sportscomplex@coep.ac.in,184,1,Pune
11,Mechanical Seminar Hall,1002,18709,Mr. Patil,9128289079,mechanicalseminarhall@coep.ac.in,244,1,Pune
12,Innovation Hub,100,13831,Mr. Patil,9853963282,innovationhub@coep.ac.in,160,0,Pune
13,Mini Auditorium,4129,18797,Mr. Joshi,8931462774,miniauditorium@coep.ac.in,281,1,Aurangabad
14,Mini Auditorium,1274,13635,Mr. Joshi,7367973305,miniauditorium@coep.ac.in,44,1,Mumbai
15,Tech Pavilion,3729,10250,Mr. Patil,8757426744,techpavilion@coep.ac.in,260,1,Aurangabad
16,Electronics Dept Conference Room,355,9815,Mr. Patil,8868085011,electronicsdeptconferenceroom@coep.ac.in,134,0,Mumbai
17,Sports Complex,459,16345,Mr. Joshi,9998649757,sportscomplex@coep.ac.in,81,1,Aurangabad
18,Sports Complex,941,15682,Mr. Joshi,8768159861,sportscomplex@coep.ac.in,238,1,Pune
19,Mechanical Seminar Hall,1256,13314,Mr. Joshi,8765851839,mechanicalseminarhall@coep.ac.in,127,1,Pune
20,Mini Auditorium,4430,14456,Mr. Mehta,9558004271,miniauditorium@coep.ac.in,93,1,Nashik
21,Robotics Arena,2618,5885,Mr. Deshmukh,7438439423,roboticsarena@coep.ac.in,270,0,Nashik
22,Admin Building Auditorium,3027,8589,Mr. Patil,9291107419,adminbuildingauditorium@coep.ac.in,270,0,Nashik
23,Electronics Dept Conference Room,3569,4659,Mr. Kulkarni,9649202984,electronicsdeptconferenceroom@coep.ac.in,40,0,Nashik
24,Workshop Hall,1229,8063,Mr. Joshi,9748767511,workshophall@coep.ac.in,135,0,Pune
25,Open Ground A,1026,9165,Mr. Joshi,8203476712,opengrounda@coep.ac.in,171,0,Pune
26,Sports Complex,3545,9482,Mr. Deshmukh,9543985835,sportscomplex@coep.ac.in,112,0,Nashik
27,Library Conference Hall,1884,10719,Mr. Patil,7808908250,libraryconferencehall@coep.ac.in,218,0,Mumbai
28,Workshop Hall,4355,18702,Mr. Patil,7073640566,workshophall@coep.ac.in,59,1,Aurangabad
29,Innovation Hub,3512,16248,Mr. Joshi,8336707317,innovationhub@coep.ac.in,133,1,Mumbai
30,Civil Hall,595,2544,Mr. Patil,7998275542,civilhall@coep.ac.in,41,1,Nagpur
31,Computer Science Lab 1,1981,3775,Mr. Kulkarni,8543512743,computersciencelab1@coep.ac.in,93,0,Nagpur
32,Mini Auditorium,4856,3528,Mr. Joshi,9539379448,miniauditorium@coep.ac.in,229,0,Mumbai
33,Robotics Arena,1334,3953,Mr. Joshi,8561753671,roboticsarena@coep.ac.in,41,0,Pune
34,Electronics Dept Conference Room,987,12522,Mr. Deshmukh,9272470960,electronicsdeptconferenceroom@coep.ac.in,299,1,Pune
35,Open Ground A,1570,14844,Mr. Patil,9553286624,opengrounda@coep.ac.in,269,1,Nagpur
36,Open Ground A,4422,12460,Mr. Joshi,8721533459,opengrounda@coep.ac.in,236,0,Pune
37,Cultural Center,2538,8950,Mr. Patil,8655579236,culturalcenter@coep.ac.in,269,0,Nagpur
38,Cultural Center,2622,14802,Mr. Patil,9725448160,culturalcenter@coep.ac.in,42,1,Nagpur
39,Electronics Dept Conference Room,1214,5065,Mr. Patil,9966091398,electronicsdeptconferenceroom@coep.ac.in,283,0,Nagpur
40,Electronics Dept Conference Room,380,19295,Mr. Deshmukh,8600246961,electronicsdeptconferenceroom@coep.ac.in,148,0,Aurangabad
41,Cultural Center,2740,11017,Mr. Kulkarni,9699845550,culturalcenter@coep.ac.in,55,1,Mumbai
42,Admin Building Auditorium,4301,12519,Mr. Deshmukh,7410878235,adminbuildingauditorium@coep.ac.in,153,1,Mumbai
43,Innovation Hub,3669,13291,Mr. Deshmukh,8847504464,innovationhub@coep.ac.in,285,1,Mumbai
44,Tech Pavilion,4576,3257,Mr. Patil,8553086795,techpavilion@coep.ac.in,238,1,Aurangabad
